metric,a,b,W,p_value,mean_diff,significant
context_precision,fixed_size,recursive,489.0,0.14543481729121166,-0.016750000000000008,False
context_precision,fixed_size,sentence_aware,588.0,0.6311007074353712,-0.017083333337999992,False
context_precision,fixed_size,semantic,552.0,0.4085797220954117,0.033250000006,False
context_precision,recursive,sentence_aware,592.5,0.6611027800401974,-0.0003333333379999903,False
context_precision,recursive,semantic,469.0,0.10303126340571143,0.05000000000600001,False
context_precision,sentence_aware,semantic,570.5,0.5166162309049848,0.05033333334399999,False
context_recall,fixed_size,recursive,565.5,0.4497542391652187,0.036190476192,False
context_recall,fixed_size,sentence_aware,592.0,0.6387683621364406,0.025,False
context_recall,fixed_size,semantic,592.0,0.6350220042185964,-0.012142857141999999,False
context_recall,recursive,sentence_aware,615.5,0.819486044411799,-0.011190476191999999,False
context_recall,recursive,semantic,544.5,0.3373859998819876,-0.048333333334,False
context_recall,sentence_aware,semantic,587.5,0.6059990360384198,-0.037142857142,False
faithfulness,fixed_size,recursive,459.0,0.08403027826127824,0.04670180116599999,False
faithfulness,fixed_size,sentence_aware,315.0,0.0017872751350887833,0.16119642246200006,True
faithfulness,fixed_size,semantic,136.5,1.2916679812596944e-06,0.24668815489800003,True
faithfulness,recursive,sentence_aware,390.5,0.016966414310527093,0.114494621296,True
faithfulness,recursive,semantic,240.0,0.00012308059669545107,0.199986353732,True
faithfulness,sentence_aware,semantic,486.0,0.14340668529984674,0.08549173243599999,False
answer_correctness,fixed_size,recursive,541.0,0.35718707191412413,-0.00977431346799999,False
answer_correctness,fixed_size,sentence_aware,424.0,0.039015525521861605,0.069880131298,True
answer_correctness,fixed_size,semantic,223.0,2.82830745792495e-05,0.142908377128,True
answer_correctness,recursive,sentence_aware,418.0,0.033687793845592395,0.07965444476599999,True
answer_correctness,recursive,semantic,245.0,8.237559280566131e-05,0.152682690596,True
answer_correctness,sentence_aware,semantic,416.5,0.032894010040193114,0.07302824582999999,True
